,Mulish - Google free,,,,,,,,,,,,
,Intropic Space,,,,,,,,,,,,
,CY25 - Constant currency impact: total revenue,1Q25A,2Q25A,3Q25A/E,4Q25E,,Gross Profit,1Q25A,2Q25A,3Q25A/E,4Q25E,,
,Lululemon,1%,1%,1.07%,-0.63%,,JD Sports,48.20%,48.03%,,46.83%,,
,VF Corp,-3%,-2%,-1.00%,-0.70%,,Lululemon,58%,59%,54.38%,54.54%,,
,Puma,0.10%,-2%,-10.40%,-26.28%,,VF Corp,53%,54%,52.20%,55.55%,,
,Adidas,13%,8%,8.00%,8.98%,,Puma,46.97%,46%,45.38%,43.17%,,
,Nike,-7%,-11%,-1%,-2.12%,,Adidas,52%,52%,51.53%,49.83%,,
,Dicks,4.50%,5%,3.32%,1.86%,,Nike,41%,40%,42%,40.52%,,
,Academy Sports,-3.70%,0.20%,-0.10%,-0.02%,,Dicks,36.70%,37.06%,33.88%,32.79%,,
,,,,,,,Academy Sports,52.09%,51.70%,51.53%,49.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Apr-25 (A),Jul-25 (A),Oct-25 (E),Jan-25 (E),,,,,,,,
,LFL sales (RHS),-2%,-3.90%,-2.55%,-2%,,,,,,,,
,Gross Margin (LHS),,48.03%,,46.83%,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Company,Cross read (to JD Sports)
,,,,,,,,,,,,Puma,Net negative
,,,,,,,,,,,,Adidas,Net negative
,,,,,,,,,,,,Next,Flat
,,,,,,,,,,,,VF Corp,Net negative
,,,,,,,,,,,,Nike,Positive
